Match,Round,Agent_Names,Source,Action_Type,Action_Description,Player_Finished,Player_Hands,Board_Before,Board_After,Possible_Actions,Current_Roles,Match_Score,Game_Score,Game_Performance_Score
0,0,"['Random', 'DQL_', 'DQL_attack', 'LargerValue']",SYSTEM,START_EXPERIMENT,,,,,,,,,,
0,0,,SYSTEM,DEAL_CARDS,,,"[[3, 3, 4, 6, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 11, 11, 11], [4, 5, 5, 7, 8, 8, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12], [3, 4, 5, 6, 6, 6, 6, 7, 8, 8, 8, 10, 10, 11, 11, 11, 11], [1, 2, 2, 4, 5, 5, 6, 7, 7, 8, 9, 9, 9, 10, 10, 11, 12]]",,,,,,,
1,0,,SYSTEM,NEW_MATCH,,,,,,,"{'Random': None, 'DQL_': None, 'DQL_attack': None, 'LargerValue': None}",,"{'Random': 0, 'DQL_': 0, 'DQL_attack': 0, 'LargerValue': 0}",
1,1,,Random,DISCARD,C11;Q1;J0,0.0,[ 3.  3.  4.  6.  7.  7.  7.  8.  8.  9.  9. 10. 10. 10. 11. 11.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0']",,,,
1,1,,DQL_,DISCARD,C9;Q4;J1,0.0,[ 4.  5.  5.  7.  8.  8. 10. 10. 10. 11. 11. 11.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[ 9.  9.  9.  9. 12.  0.  0.  0.  0.  0.  0.],"['C4;Q1;J0', 'C4;Q1;J1', 'C5;Q1;J0', 'C5;Q1;J1', 'C5;Q2;J0', 'C5;Q2;J1', 'C7;Q1;J0', 'C7;Q1;J1', 'C8;Q1;J0', 'C8;Q1;J1', 'C8;Q2;J0', 'C8;Q2;J1', 'C9;Q1;J0', 'C9;Q1;J1', 'C9;Q2;J0', 'C9;Q2;J1', 'C9;Q3;J0', 'C9;Q3;J1', 'C9;Q4;J0', 'C9;Q4;J1', 'C10;Q1;J0', 'C10;Q1;J1', 'C10;Q2;J0', 'C10;Q2;J1', 'C10;Q3;J0', 'C10;Q3;J1', 'pass']",,,,
1,1,,DQL_attack,DISCARD,pass,0.0,[ 3.  4.  5.  6.  6.  6.  6.  7.  8.  8.  8. 10. 10. 11. 11. 11. 11.],[ 9.  9.  9.  9. 12.  0.  0.  0.  0.  0.  0.],[ 9.  9.  9.  9. 12.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,1,,LargerValue,DISCARD,pass,0.0,[ 1.  2.  2.  4.  5.  5.  6.  7.  7.  8.  9.  9.  9. 10. 10. 11. 12.],[ 9.  9.  9.  9. 12.  0.  0.  0.  0.  0.  0.],[ 9.  9.  9.  9. 12.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,1,,Random,DISCARD,pass,0.0,[ 3.  3.  4.  6.  7.  7.  7.  8.  8.  9.  9. 10. 10. 10. 11. 11.  0.],[ 9.  9.  9.  9. 12.  0.  0.  0.  0.  0.  0.],[ 9.  9.  9.  9. 12.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,,,DQL_,DECLARE_PIZZA,,,,,,,,,,
1,2,,DQL_,DISCARD,C11;Q2;J0,0.0,[ 4.  5.  5.  7.  8.  8. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C4;Q1;J0', 'C5;Q1;J0', 'C5;Q2;J0', 'C7;Q1;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'pass']",,,,
1,2,,DQL_attack,DISCARD,C6;Q4;J0,0.0,[ 3.  4.  5.  7.  8.  8.  8. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.],[11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 6. 6. 6. 0. 0. 0. 0. 0. 0. 0.],"['C6;Q2;J0', 'C6;Q3;J0', 'C6;Q4;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'C10;Q2;J0', 'pass']",,,,
