Match,Round,Agent_Names,Source,Action_Type,Action_Description,Player_Finished,Player_Hands,Board_Before,Board_After,Possible_Actions,Current_Roles,Match_Score,Game_Score,Game_Performance_Score
0,0,"['Random0', 'Random1', 'Random2', 'DQL_ATK']",SYSTEM,START_EXPERIMENT,,,,,,,,,,
0,0,,SYSTEM,DEAL_CARDS,,,"[[2, 4, 4, 5, 6, 7, 8, 8, 8, 9, 10, 10, 10, 11, 11, 11, 11], [2, 3, 3, 4, 4, 6, 7, 7, 8, 9, 9, 9, 9, 9, 9, 10, 11], [3, 5, 6, 6, 7, 7, 8, 8, 8, 9, 10, 10, 10, 10, 11, 12, 12], [1, 5, 5, 5, 6, 6, 7, 7, 8, 9, 10, 10, 11, 11, 11, 11, 11]]",,,,,,,
1,0,,SYSTEM,NEW_MATCH,,,,,,,"{'Random0': None, 'Random1': None, 'Random2': None, 'DQL_ATK': None}",,"{'Random0': 0, 'Random1': 0, 'Random2': 0, 'DQL_ATK': 0}",
1,1,,Random1,DISCARD,C11;Q1;J0,0.0,[ 2.  3.  3.  4.  4.  6.  7.  7.  8.  9.  9.  9.  9.  9.  9. 10.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],['C11;Q1;J0'],,,,
1,1,,Random2,DISCARD,C6;Q2;J2,0.0,[ 3.  5.  7.  7.  8.  8.  8.  9. 10. 10. 10. 10. 11.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[ 6.  6. 12. 12.  0.  0.  0.  0.  0.  0.  0.],"['C3;Q1;J0', 'C3;Q1;J1', 'C3;Q1;J2', 'C5;Q1;J0', 'C5;Q1;J1', 'C5;Q1;J2', 'C6;Q1;J0', 'C6;Q1;J1', 'C6;Q1;J2', 'C6;Q2;J0', 'C6;Q2;J1', 'C6;Q2;J2', 'C7;Q1;J0', 'C7;Q1;J1', 'C7;Q1;J2', 'C7;Q2;J0', 'C7;Q2;J1', 'C7;Q2;J2', 'C8;Q1;J0', 'C8;Q1;J1', 'C8;Q1;J2', 'C8;Q2;J0', 'C8;Q2;J1', 'C8;Q2;J2', 'C8;Q3;J0', 'C8;Q3;J1', 'C8;Q3;J2', 'C9;Q1;J0', 'C9;Q1;J1', 'C9;Q1;J2', 'C10;Q1;J0', 'C10;Q1;J1', 'C10;Q1;J2', 'C10;Q2;J0', 'C10;Q2;J1', 'C10;Q2;J2', 'C10;Q3;J0', 'C10;Q3;J1', 'C10;Q3;J2', 'C10;Q4;J0', 'C10;Q4;J1', 'C10;Q4;J2', 'pass']",,,,
1,1,,DQL_ATK,DISCARD,pass,0.0,[ 1.  5.  5.  5.  6.  6.  7.  7.  8.  9. 10. 10. 11. 11. 11. 11. 11.],[ 6.  6. 12. 12.  0.  0.  0.  0.  0.  0.  0.],[ 6.  6. 12. 12.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,1,,Random0,DISCARD,pass,0.0,[ 2.  4.  4.  5.  6.  7.  8.  8.  8.  9. 10. 10. 10. 11. 11. 11. 11.],[ 6.  6. 12. 12.  0.  0.  0.  0.  0.  0.  0.],[ 6.  6. 12. 12.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,1,,Random1,DISCARD,pass,0.0,[ 2.  3.  3.  4.  4.  6.  7.  7.  8.  9.  9.  9.  9.  9.  9. 10.  0.],[ 6.  6. 12. 12.  0.  0.  0.  0.  0.  0.  0.],[ 6.  6. 12. 12.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,,,Random2,DECLARE_PIZZA,,,,,,,,,,
1,2,,Random2,DISCARD,C3;Q1;J0,0.0,[ 5.  7.  7.  8.  8.  8.  9. 10. 10. 10. 10. 11.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C3;Q1;J0', 'C5;Q1;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'C9;Q1;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'C10;Q4;J0', 'C11;Q1;J0', 'pass']",,,,
