Match,Round,Source,Attack,Defense,Vitality,Eccentricity
1,1.0,Random1,0.0,0.0,1.0,-0.03
1,1.0,Random2,0.0,0.0,1.0,-0.03
1,1.0,DQL_vitality,3.0,0.0,1.0,0.0
1,1.0,Random0,0.0,0.0,0.0,-0.03
1,1.0,Random1,,,,-0.03
1,1.0,Random2,,,,-0.03
1,2.0,DQL_vitality,0.0,0.0,1.0,-0.03
1,2.0,Random0,0.0,0.0,1.0,-0.03
1,2.0,Random1,3.0,0.0,1.0,0.0
1,2.0,Random2,0.0,0.0,0.0,-0.03
1,2.0,DQL_vitality,,,,-0.03
1,2.0,Random0,,,,-0.03
1,3.0,Random1,0.0,0.0,1.0,-0.03
1,3.0,Random2,0.0,0.0,1.0,-0.03
1,3.0,DQL_vitality,3.0,0.0,1.0,0.0
1,3.0,Random0,0.0,0.0,0.0,-0.03
1,3.0,Random1,,,,-0.03
1,3.0,Random2,,,,-0.03
1,4.0,DQL_vitality,0.0,0.0,1.0,-0.03
1,4.0,Random0,0.0,0.0,1.0,-0.03
1,4.0,Random1,3.0,0.0,1.0,0.0
1,4.0,Random2,0.0,0.0,0.0,-0.03
1,4.0,DQL_vitality,,,,-0.03
1,4.0,Random0,,,,-0.03
1,5.0,Random1,0.0,0.0,1.0,-0.03
1,5.0,Random2,0.0,0.0,1.0,-0.03
1,5.0,DQL_vitality,0.0,0.0,1.0,-0.03
1,5.0,Random0,3.0,0.0,1.0,0.0
1,5.0,Random1,,,,-0.03
1,5.0,Random2,,,,-0.03
1,5.0,DQL_vitality,,,,-0.03
1,6.0,Random0,0.0,0.0,1.0,-0.03
1,6.0,Random1,3.0,0.0,1.0,0.0
1,6.0,Random2,0.0,0.0,0.0,-0.03
1,6.0,DQL_vitality,0.0,0.0,0.0,-0.03
1,6.0,Random0,,,,-0.03
1,7.0,Random1,0.0,0.0,1.0,-0.03
1,7.0,Random2,3.0,0.0,1.0,0.0
1,7.0,DQL_vitality,0.0,0.0,0.0,-0.03
1,7.0,Random0,0.0,0.0,0.0,-0.03
1,7.0,Random1,,,,-0.03
1,8.0,Random2,0.0,0.0,1.0,-0.03
1,8.0,DQL_vitality,0.0,0.0,1.0,-0.03
1,8.0,Random0,0.0,0.0,1.0,-0.03
1,8.0,Random1,3.0,0.0,1.0,0.0
1,8.0,Random2,,,,-0.03
1,8.0,DQL_vitality,,,,-0.03
1,8.0,Random0,,,,-0.03
1,9.0,Random1,2.0,0.0,1.0,0.0
1,9.0,Random2,0.0,0.0,0.0,-0.03
1,9.0,DQL_vitality,0.0,0.0,0.0,-0.03
1,9.0,Random0,1.0,2.0,1.0,-0.03
1,9.0,Random0,,,,-0.03
2,1.0,Random2,2.0,1.0,2.0,0.0
2,1.0,DQL_vitality,0.0,0.0,1.0,-0.03
2,1.0,Random0,1.0,0.0,1.0,-0.03
2,1.0,Random1,0.0,0.0,0.0,-0.03
2,1.0,Random2,,,,0.0
2,1.0,DQL_vitality,,,,-0.03
2,1.0,Random0,,,,-0.03
2,2.0,Random2,3.0,0.0,1.0,0.0
2,2.0,DQL_vitality,0.0,0.0,0.0,-0.03
2,2.0,Random0,0.0,0.0,0.0,-0.03
2,2.0,Random1,0.0,0.0,0.0,-0.03
2,3.0,Random2,3.0,0.0,2.0,0.0
2,3.0,DQL_vitality,0.0,0.0,1.0,-0.03
2,3.0,Random0,0.0,0.0,1.0,-0.03
2,3.0,Random1,0.0,0.0,1.0,-0.03
2,3.0,Random2,,,,0.0
2,3.0,DQL_vitality,,,,-0.03
2,3.0,Random0,,,,-0.03
2,3.0,Random1,,,,-0.03
2,4.0,Random2,2.0,0.0,1.0,-0.03
2,4.0,DQL_vitality,0.0,0.0,0.0,-0.03
2,4.0,Random0,0.0,0.0,0.0,-0.03
2,4.0,Random1,1.0,2.0,1.0,0.0
2,4.0,Random2,,,,-0.03
2,5.0,Random1,1.0,0.0,1.0,-0.03
2,5.0,Random2,0.0,0.0,0.0,-0.03
2,5.0,DQL_vitality,2.0,1.0,1.0,0.0
2,5.0,Random0,0.0,0.0,0.0,-0.03
2,5.0,Random1,,,,-0.03
2,6.0,DQL_vitality,0.0,0.0,1.0,-0.03
2,6.0,Random0,0.0,0.0,1.0,-0.03
2,6.0,Random1,3.0,0.0,1.0,0.0
2,6.0,Random2,0.0,0.0,0.0,-0.03
2,6.0,DQL_vitality,,,,-0.03
2,6.0,Random0,,,,-0.03
2,7.0,Random1,0.0,0.0,1.0,-0.03
2,7.0,Random2,3.0,0.0,1.0,0.0
2,7.0,DQL_vitality,0.0,0.0,0.0,-0.03
2,7.0,Random0,0.0,0.0,0.0,-0.03
2,7.0,Random1,,,,-0.03
2,8.0,Random2,0.0,0.0,1.0,-0.03
2,8.0,DQL_vitality,1.0,2.0,2.0,0.0
2,8.0,Random0,0.0,0.0,0.0,-0.03
2,8.0,Random1,1.0,1.0,1.0,-0.03
2,8.0,Random2,,,,-0.03
2,8.0,DQL_vitality,,,,0.0
2,8.0,Random1,,,,-0.03
2,9.0,DQL_vitality,0.0,0.0,1.0,-0.03
2,9.0,Random0,3.0,0.0,1.0,0.0
2,9.0,Random1,0.0,0.0,0.0,-0.03
2,9.0,Random2,0.0,0.0,0.0,-0.03
2,9.0,DQL_vitality,,,,-0.03
2,10.0,Random0,0.0,0.0,1.0,-0.03
2,10.0,Random1,3.0,0.0,1.0,0.0
2,10.0,Random2,0.0,0.0,0.0,-0.03
2,10.0,DQL_vitality,0.0,0.0,0.0,-0.03
2,10.0,Random0,,,,-0.03
2,11.0,Random1,3.0,0.0,1.0,0.0
2,11.0,Random2,0.0,0.0,0.0,-0.03
2,11.0,DQL_vitality,0.0,0.0,0.0,-0.03
2,11.0,Random0,0.0,0.0,0.0,-0.03
2,12.0,Random1,1.0,2.0,2.0,0.0
2,12.0,Random2,2.0,0.0,1.0,-0.03
2,12.0,DQL_vitality,0.0,0.0,0.0,-0.03
2,12.0,Random0,0.0,0.0,0.0,-0.03
2,12.0,Random1,,,,0.0
2,12.0,Random2,,,,-0.03
2,13.0,Random1,1.0,0.0,1.0,0.0
2,13.0,Random2,0.0,0.0,0.0,-0.03
2,13.0,DQL_vitality,1.0,2.0,3.0,-0.03
2,13.0,Random0,0.0,0.0,0.0,-0.03
2,13.0,DQL_vitality,,,,-0.03
2,13.0,DQL_vitality,,,,-0.03
2,13.0,DQL_vitality,,,,-0.03
3,1.0,Random1,0.0,0.0,1.0,-0.03
3,1.0,Random2,3.0,0.0,1.0,0.0
3,1.0,DQL_vitality,0.0,0.0,0.0,-0.03
3,1.0,Random0,0.0,0.0,0.0,-0.03
3,1.0,Random1,,,,-0.03
3,2.0,Random2,3.0,0.0,1.0,0.0
3,2.0,DQL_vitality,0.0,0.0,0.0,-0.03
3,2.0,Random0,0.0,0.0,0.0,-0.03
3,2.0,Random1,0.0,0.0,0.0,-0.03
3,3.0,Random2,3.0,0.0,1.0,0.0
3,3.0,DQL_vitality,0.0,0.0,0.0,-0.03
3,3.0,Random0,0.0,0.0,0.0,-0.03
3,3.0,Random1,0.0,0.0,0.0,-0.03
3,4.0,Random2,3.0,0.0,1.0,0.0
3,4.0,DQL_vitality,0.0,0.0,0.0,-0.03
3,4.0,Random0,0.0,0.0,0.0,-0.03
3,4.0,Random1,0.0,0.0,0.0,-0.03
3,5.0,Random2,0.0,0.0,1.0,-0.03
3,5.0,DQL_vitality,1.0,0.0,1.0,-0.03
3,5.0,Random0,0.0,0.0,0.0,-0.03
3,5.0,Random1,2.0,1.0,1.0,0.0
3,5.0,Random2,,,,-0.03
3,5.0,DQL_vitality,,,,-0.03
3,6.0,Random1,0.0,0.0,1.0,-0.03
3,6.0,Random2,0.0,0.0,1.0,-0.03
3,6.0,DQL_vitality,3.0,0.0,1.0,0.0
3,6.0,Random0,0.0,0.0,0.0,-0.03
3,6.0,Random1,,,,-0.03
3,6.0,Random2,,,,-0.03
3,7.0,DQL_vitality,0.0,0.0,1.0,-0.03
3,7.0,Random0,0.0,0.0,1.0,-0.03
3,7.0,Random1,3.0,0.0,1.0,0.0
3,7.0,Random2,0.0,0.0,0.0,-0.03
3,7.0,DQL_vitality,,,,-0.03
3,7.0,Random0,,,,-0.03
3,8.0,Random1,0.0,0.0,1.0,-0.03
3,8.0,Random2,3.0,0.0,1.0,0.0
3,8.0,DQL_vitality,0.0,0.0,0.0,-0.03
3,8.0,Random0,0.0,0.0,0.0,-0.03
3,8.0,Random1,,,,-0.03
